Simulation,Transitions
1,218
2,197
3,237
4,232
5,235
6,230
7,219
8,183
9,163
10,189
11,181
12,250
13,212
14,232
15,187
16,179
17,258
18,205
19,184
20,205
21,206
22,154
23,160
24,232
25,202
26,225
27,226
28,194
29,165
30,221
31,234
32,194
33,221
34,160
35,224
36,229
37,237
38,251
39,210
40,213
41,218
42,213
43,147
44,257
45,269
46,217
47,237
48,215
49,237
50,233
51,204
52,230
53,153
54,228
55,242
56,195
57,197
58,211
59,201
60,203
61,236
62,235
63,224
64,149
65,215
66,224
67,237
68,190
69,219
70,274
71,219
72,225
73,178
74,203
75,237
76,192
77,251
78,264
79,247
80,253
81,270
82,231
83,222
84,222
85,167
86,209
87,219
88,229
89,228
90,224
91,251
92,210
93,276
94,247
95,193
96,139
97,256
98,210
99,209
100,221
101,243
102,222
103,182
104,198
105,239
106,204
107,232
108,196
109,255
110,215
111,244
112,216
113,220
114,232
115,248
116,249
117,156
118,221
119,182
120,203
121,215
122,256
123,229
124,216
125,213
126,183
127,188
128,249
129,226
130,188
131,217
132,168
133,234
134,220
135,196
136,222
137,213
138,215
139,247
140,223
141,186
142,196
143,269
144,212
145,214
146,187
147,202
148,253
149,207
150,204
151,226
152,241
153,222
154,225
155,230
156,221
157,185
158,211
159,230
160,238
161,247
162,183
163,223
164,196
165,197
166,246
167,224
168,155
169,216
170,219
171,242
172,205
173,180
174,203
175,266
176,181
177,251
178,208
179,194
180,225
181,254
182,186
183,216
184,189
185,214
186,218
187,211
188,237
189,210
190,192
191,220
192,251
193,216
194,191
195,233
196,269
197,242
198,231
199,252
200,205
201,233
202,245
203,230
204,231
205,211
206,222
207,228
208,227
209,227
210,258
211,109
212,228
213,231
214,197
215,197
216,160
217,210
218,204
219,231
220,218
221,265
222,218
223,234
224,172
225,226
226,243
227,224
228,192
229,208
230,257
231,192
232,227
233,193
234,213
235,244
236,217
237,189
238,199
239,280
240,188
241,237
242,217
243,217
244,250
245,204
246,223
247,241
248,200
249,207
250,185
251,228
252,220
253,235
254,193
255,160
256,225
257,248
258,224
259,187
260,217
261,263
262,223
263,216
264,204
265,277
266,158
267,234
268,204
269,227
270,180
271,229
272,226
273,211
274,192
275,199
276,212
277,193
278,253
279,253
280,198
281,249
282,239
283,191
284,211
285,223
286,137
287,180
288,173
289,224
290,203
291,253
292,176
293,203
294,214
295,229
296,230
297,200
298,151
299,198
300,215
301,229
302,238
303,219
304,188
305,209
306,187
307,202
308,224
309,250
310,201
311,216
312,135
313,234
314,185
315,228
316,183
317,224
318,202
319,210
320,237
321,266
322,201
323,251
324,195
325,216
326,220
327,178
328,203
329,229
330,235
331,222
332,213
333,238
334,212
335,270
336,216
337,219
338,175
339,214
340,211
341,234
342,196
343,215
344,254
345,252
346,237
347,208
348,252
349,209
350,227
351,244
352,212
353,201
354,209
355,168
356,195
357,224
358,203
359,203
360,148
361,221
362,222
363,227
364,186
365,270
366,215
367,222
368,209
369,205
370,209
371,217
372,235
373,161
374,195
375,209
376,184
377,273
378,199
379,247
380,233
381,216
382,205
383,256
384,228
385,233
386,199
387,223
388,179
389,221
390,227
391,237
392,241
393,237
394,234
395,205
396,227
397,196
398,236
399,242
400,228
401,251
402,221
403,251
404,245
405,218
406,215
407,207
408,255
409,199
410,198
411,231
412,220
413,158
414,224
415,192
416,212
417,212
418,215
419,235
420,183
421,206
422,193
423,242
424,173
425,228
426,223
427,242
428,228
429,213
430,241
431,209
432,229
433,191
434,221
435,183
436,258
437,227
438,256
439,267
440,255
441,230
442,222
443,259
444,259
445,159
446,222
447,243
448,219
449,232
450,246
451,229
452,236
453,263
454,235
455,217
456,199
457,215
458,175
459,233
460,170
461,233
462,247
463,192
464,227
465,216
466,197
467,194
468,185
469,121
470,205
471,190
472,192
473,192
474,161
475,257
476,230
477,240
478,241
479,217
480,220
481,209
482,246
483,211
484,213
485,248
486,200
487,222
488,224
489,214
490,193
491,213
492,210
493,203
494,173
495,203
496,208
497,214
498,189
499,208
500,190
501,190
502,203
503,173
504,237
505,217
506,239
507,218
508,248
509,234
510,249
511,257
512,218
513,242
514,204
515,216
516,257
517,186
518,194
519,224
520,287
521,228
522,233
523,215
524,261
525,252
526,234
527,208
528,264
529,221
530,219
531,250
532,215
533,237
534,229
535,244
536,215
537,215
538,173
539,251
540,225
541,242
542,213
543,198
544,179
545,189
546,251
547,248
548,205
549,223
550,182
551,216
552,168
553,177
554,237
555,235
556,195
557,208
558,208
559,234
560,211
561,214
562,267
563,190
564,206
565,236
566,232
567,230
568,185
569,226
570,244
571,228
572,229
573,194
574,255
575,184
576,226
577,168
578,236
579,240
580,168
581,217
582,259
583,212
584,230
585,226
586,248
587,219
588,206
589,244
590,194
591,249
592,150
593,211
594,192
595,204
596,253
597,230
598,234
599,220
600,248
601,149
602,237
603,206
604,196
605,251
606,206
607,188
608,207
609,188
610,229
611,236
612,242
613,214
614,246
615,204
616,212
617,178
618,177
619,170
620,237
621,225
622,188
623,180
624,211
625,193
626,237
627,201
628,196
629,229
630,194
631,205
632,248
633,185
634,216
635,209
636,241
637,228
638,140
639,233
640,199
641,219
642,218
643,224
644,222
645,234
646,215
647,206
648,226
649,221
650,225
651,243
652,207
653,251
654,213
655,235
656,195
657,209
658,250
659,219
660,224
661,222
662,241
663,209
664,206
665,213
666,164
667,193
668,241
669,209
670,220
671,181
672,216
673,234
674,235
675,215
676,248
677,229
678,223
679,252
680,253
681,230
682,216
683,246
684,212
685,245
686,213
687,205
688,262
689,219
690,210
691,174
692,229
693,261
694,229
695,217
696,203
697,209
698,221
699,203
700,198
701,264
702,194
703,224
704,210
705,212
706,235
707,187
708,242
709,224
710,209
711,218
712,214
713,237
714,208
715,225
716,230
717,205
718,209
719,226
720,208
721,216
722,228
723,231
724,263
725,132
726,235
727,230
728,253
729,255
730,217
731,219
732,245
733,245
734,204
735,229
736,219
737,247
738,205
739,231
740,248
741,227
742,246
743,241
744,181
745,192
746,264
747,145
748,191
749,232
750,201
751,242
752,243
753,200
754,229
755,250
756,244
757,165
758,217
759,197
760,196
761,181
762,231
763,254
764,209
765,225
766,224
767,223
768,234
769,206
770,208
771,208
772,236
773,223
774,259
775,227
776,210
777,238
778,229
779,233
780,180
781,238
782,229
783,119
784,195
785,208
786,235
787,187
788,236
789,147
790,201
791,238
792,219
793,265
794,207
795,216
796,234
797,164
798,196
799,197
800,207
801,221
802,217
803,219
804,203
805,213
806,179
807,230
808,203
809,237
810,225
811,192
812,231
813,179
814,136
815,235
816,153
817,230
818,215
819,249
820,254
821,227
822,211
823,84
824,216
825,170
826,201
827,237
828,150
829,230
830,220
831,217
832,172
833,196
834,231
835,195
836,201
837,261
838,223
839,217
840,197
841,232
842,165
843,200
844,224
845,231
846,237
847,218
848,222
849,218
850,228
851,180
852,225
853,223
854,191
855,222
856,213
857,214
858,193
859,252
860,198
861,220
862,217
863,212
864,260
865,215
866,214
867,260
868,219
869,235
870,155
871,233
872,198
873,205
874,258
875,207
876,200
877,165
878,172
879,191
880,204
881,202
882,204
883,192
884,194
885,268
886,248
887,243
888,215
889,208
890,202
891,216
892,259
893,238
894,220
895,247
896,239
897,211
898,249
899,205
900,191
901,188
902,221
903,193
904,209
905,232
906,221
907,208
908,223
909,181
910,181
911,276
912,156
913,244
914,270
915,203
916,221
917,242
918,200
919,228
920,212
921,189
922,236
923,140
924,211
925,214
926,136
927,150
928,197
929,199
930,232
931,221
932,216
933,219
934,197
935,233
936,227
937,212
938,223
939,253
940,200
941,183
942,172
943,257
944,194
945,223
946,226
947,260
948,210
949,243
950,201
951,236
952,167
953,194
954,219
955,212
956,216
957,212
958,199
959,237
960,187
961,232
962,167
963,217
964,199
965,244
966,220
967,207
968,205
969,283
970,234
971,207
972,247
973,251
974,252
975,207
976,153
977,223
978,198
979,217
980,233
981,232
982,189
983,208
984,255
985,198
986,254
987,224
988,159
989,205
990,239
991,211
992,173
993,232
994,198
995,151
996,198
997,194
998,229
999,232
1000,204
